"","name","datetime","lat","long","status","category","wind","pressure"
"1","Amy","1975-6-27 0:00:00",27.5,-79,"tropical depression","-1",25,1013
"2","Amy","1975-6-27 6:00:00",28.5,-79,"tropical depression","-1",25,1013
"3","Amy","1975-6-27 12:00:00",29.5,-79,"tropical depression","-1",25,1013
"4","Amy","1975-6-27 18:00:00",30.5,-79,"tropical depression","-1",25,1013
"5","Amy","1975-6-28 0:00:00",31.5,-78.8,"tropical depression","-1",25,1012
"6","Amy","1975-6-28 6:00:00",32.4,-78.7,"tropical depression","-1",25,1012
"7","Amy","1975-6-28 12:00:00",33.3,-78,"tropical depression","-1",25,1011
"8","Amy","1975-6-28 18:00:00",34,-77,"tropical depression","-1",30,1006
"9","Amy","1975-6-29 0:00:00",34.4,-75.8,"tropical storm","0",35,1004
"10","Amy","1975-6-29 6:00:00",34,-74.8,"tropical storm","0",40,1002
"11","Amy","1975-6-29 12:00:00",33.8,-73.8,"tropical storm","0",45,1000
"12","Amy","1975-6-29 18:00:00",33.8,-72.8,"tropical storm","0",50,998
"13","Amy","1975-6-30 0:00:00",34.3,-71.6,"tropical storm","0",50,998
"14","Amy","1975-6-30 6:00:00",35.6,-70.8,"tropical storm","0",55,998
"15","Amy","1975-6-30 12:00:00",35.9,-70.5,"tropical storm","0",60,987
"16","Amy","1975-6-30 18:00:00",36.2,-70.2,"tropical storm","0",60,987
"17","Amy","1975-7-1 0:00:00",36.2,-69.8,"tropical storm","0",60,984
"18","Amy","1975-7-1 6:00:00",36.2,-69.4,"tropical storm","0",60,984
"19","Amy","1975-7-1 12:00:00",36.2,-68.3,"tropical storm","0",60,984
"20","Amy","1975-7-1 18:00:00",36.7,-67.2,"tropical storm","0",60,984
"21","Amy","1975-7-2 0:00:00",37.4,-66.7,"tropical storm","0",60,984
"22","Amy","1975-7-2 6:00:00",37.3,-65.9,"tropical storm","0",60,984
"23","Amy","1975-7-2 12:00:00",37.3,-65.1,"tropical storm","0",60,981
"24","Amy","1975-7-2 18:00:00",37.3,-64.1,"tropical storm","0",60,986
"25","Amy","1975-7-3 0:00:00",37.7,-62.8,"tropical storm","0",55,986
